,Unnamed: 0.1,Unnamed: 0,Empresas,Endereços,Link Maps,Tipo,Latitude,Longitude
1686,1990,1990,Ekko - Ipanema,"R. Nascimento Silva, 330 - Ipanema, Rio de Janeiro - RJ, 22421-026",https://www.google.com/maps/place/Ekko+-+Ipanema/data=!4m7!3m6!1s0x9bd51745bbe7f3:0x1f41b1caa7c60ea!8m2!3d-22.981845!4d-43.207074!16s%2Fg%2F1ptxgm4gb!19sChIJ8-e7RRfVmwAR6mB8qhwb9AE?authuser=0&hl=pt-BR&rclk=1,Loja de pisos,-22.981845,-43.207074
1687,1991,1991,Vinicius Materiais de Construção Bazar,"R. Vinícius de Moraes, 178 - lj A/B - Ipanema, Rio de Janeiro - RJ, 22410-040",https://www.google.com/maps/place/Vinicius+Materiais+de+Constru%C3%A7%C3%A3o+Bazar/data=!4m7!3m6!1s0x9bd5103f35a5dd:0x54bf3a1c12060604!8m2!3d-22.9823649!4d-43.202639!16s%2Fg%2F1wz53y68!19sChIJ3aU1PxDVmwARBAYGEhw6v1Q?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.9823649,-43.202639
1688,1992,1992,Casa Cartrill Material de Construção,"R. Visc. de Pirajá, 630 - Loja J , boxs 1,2,3 - Ipanema, Rio de Janeiro - RJ, 22410-002",https://www.google.com/maps/place/Casa+Cartrill+Material+de+Constru%C3%A7%C3%A3o/data=!4m7!3m6!1s0x9bd5a9d8d1a683:0xea0ecc82bb625e90!8m2!3d-22.9834453!4d-43.2137163!16s%2Fg%2F11kpknb3vd!19sChIJg6bR2KnVmwARkF5iu4LMDuo?authuser=0&hl=pt-BR&rclk=1,Loja,-22.9834453,-43.2137163
1689,1993,1993,Penedo e Ribeiro Materiais de Construção,"R. Teixeira de Melo, 42D - Ipanema, Rio de Janeiro - RJ, 22410-010",https://www.google.com/maps/place/Penedo+e+Ribeiro+Materiais+de+Constru%C3%A7%C3%A3o/data=!4m7!3m6!1s0x997f87bfdb219f:0xa9635979b79c773c!8m2!3d-22.9842585!4d-43.1985031!16s%2Fg%2F1tlnfnxt!19sChIJnyHbv4d_mQARPHect3lZY6k?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.9842585,-43.1985031
1690,1996,1996,Bazar Laffargue,"Condomínio do Edifício Maria do Carmo Cc Alvim - R. Teixeira de Melo, 81 - Ipanema, Rio de Janeiro - RJ, 22410-010",https://www.google.com/maps/place/Bazar+Laffargue/data=!4m7!3m6!1s0x9bd5173672d665:0x87dd3f8456008199!8m2!3d-22.9838992!4d-43.1987571!16s%2Fg%2F1thtfc8l!19sChIJZdZyNhfVmwARmYEAVoQ_3Yc?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.9838992,-43.1987571
1691,1997,1997,Sinteko piso de madeira Bittencourt,"R. Alberto de Campos, 10b - sala 601 - Ipanema, Rio de Janeiro - RJ, 22411-030",https://www.google.com/maps/place/Sinteko+piso+de+madeira+Bittencourt/data=!4m7!3m6!1s0x9bd5a20d7eb7cb:0x2de48e7ec0d3493c!8m2!3d-22.9808898!4d-43.1988895!16s%2Fg%2F11k4c1r6_g!19sChIJy7d-DaLVmwARPEnTwH6O5C0?authuser=0&hl=pt-BR&rclk=1,Loja de pisos,-22.9808898,-43.1988895
1692,1998,1998,Vieira e Rodrigues - Material de Construção e Acabamento,"Av. Bartolomeu Mitre, 621 - Leblon, Rio de Janeiro - RJ, 22431-003 Atendimento& - 999671274, Rio de Janeiro - RJ, 22431-001",https://www.google.com/maps/place/Vieira+e+Rodrigues+-+Material+de+Constru%C3%A7%C3%A3o+e+Acabamento/data=!4m7!3m6!1s0x9bd5b21e018c59:0x3da5264ab41f3bc3!8m2!3d-22.9814097!4d-43.2241287!16s%2Fg%2F1tctn08g!19sChIJWYwBHrLVmwARwzsftEompT0?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.9814097,-43.2241287
1693,1999,1999,Amoedo Design - Ipanema,"R. Farme de Amoedo, 82 - Ipanema, Rio de Janeiro - RJ, 22410-904",https://www.google.com/maps/place/Amoedo+Design+-+Ipanema/data=!4m7!3m6!1s0x9bd5cb5365da75:0xd5895639871bb44c!8m2!3d-22.9838263!4d-43.2005944!16s%2Fg%2F11kjzrxdrs!19sChIJddplU8vVmwARTLQbhzlWidU?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.9838263,-43.2005944
1694,2000,2000,Art Mais Ipanema,"R. Visc. de Pirajá, 550 - Loja 208 - Ipanema, Rio de Janeiro - RJ, 22410-003",https://www.google.com/maps/place/Art+Mais+Ipanema/data=!4m7!3m6!1s0x9bd51ab4c9ee95:0x93ecf58d39a05b50!8m2!3d-22.983675!4d-43.2115003!16s%2Fg%2F1ptvz5gnb!19sChIJle7JtBrVmwARUFugOY317JM?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.983675,-43.2115003
1695,2001,2001,Casa Campos,"Rua Dias Ferreira, 105 - Leblon, Rio de Janeiro - RJ, 22431-050",https://www.google.com/maps/place/Casa+Campos/data=!4m7!3m6!1s0x9bd44b51289395:0x713bdc65944ac88b!8m2!3d-22.9850845!4d-43.2282831!16s%2Fg%2F1tdjy77k!19sChIJlZMoUUvUmwARi8hKlGXcO3E?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.9850845,-43.2282831
1696,2002,2002,JD materiais de construção,"Av. Bartolomeu Mitre, 553 - loja f - Leblon, Rio de Janeiro - RJ, 22431-002",https://www.google.com/maps/place/JD+materiais+de+constru%C3%A7%C3%A3o/data=!4m7!3m6!1s0x9bd5b21a8058fb:0xb77f5f4646d9ceff!8m2!3d-22.982034!4d-43.2239413!16s%2Fg%2F1tl9nsyp!19sChIJ-1iAGrLVmwAR_87ZRkZff7c?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.982034,-43.2239413
1697,2003,2003,Loja de Material de Construção Bazar Novo Gávea,"Estr. da Gávea, 02 - Gávea, Rio de Janeiro - RJ, 22451-263",https://www.google.com/maps/place/Loja+de+Material+de+Constru%C3%A7%C3%A3o+Bazar+Novo+G%C3%A1vea/data=!4m7!3m6!1s0x9bd432ddea6017:0x873e5f03b7774854!8m2!3d-22.9816194!4d-43.2404227!16s%2Fg%2F11cmn13brn!19sChIJF2Dq3TLUmwARVEh3twNfPoc?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.9816194,-43.2404227
1698,2004,2004,Empporium Frei Caneca,"R. Nascimento Silva, 304 - Ipanema, Rio de Janeiro - RJ, 22421-020",https://www.google.com/maps/place/Empporium+Frei+Caneca/data=!4m7!3m6!1s0x9bd0c18f214e49:0x1a78837903b4947e!8m2!3d-22.9817989!4d-43.2065306!16s%2Fg%2F1tdyb8v_!19sChIJSU4hj8HQmwARfpS0A3mDeBo?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.9817989,-43.2065306
1699,2005,2005,Joãozinho Bazar,"joãozinho bazar - Estr. da Gávea, 385 - Rocinha, Rio de Janeiro - RJ, 22451-265",https://www.google.com/maps/place/Jo%C3%A3ozinho+Bazar/data=!4m7!3m6!1s0x9bd42f654babf1:0xdb5f662d1913bbb!8m2!3d-22.9879075!4d-43.2457371!16s%2Fg%2F11b5pj1fdt!19sChIJ8atLZS_UmwARuzuR0WL2tQ0?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.9879075,-43.2457371
1700,2006,2006,Bazar do posto. Material de construção em Irajá ao lado do posto de saúde,"Av. Monsenhor Félix, 260 - Irajá, Rio de Janeiro - RJ, 21361-132",https://www.google.com/maps/place/Bazar+do+posto.+Material+de+constru%C3%A7%C3%A3o+em+Iraj%C3%A1+ao+lado+do+posto+de+sa%C3%BAde/data=!4m7!3m6!1s0x997cb4818e82f5:0x6fb53422e74ac6e8!8m2!3d-22.8512607!4d-43.3272047!16s%2Fg%2F11c1ljhjr_!19sChIJ9YKOgbR8mQAR6MZK5yI0tW8?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8512607,-43.3272047
1701,2007,2007,RSR MATERIAL DE COSTRUCAO,"R. Marquês de Aracati, 142 - Irajá, Rio de Janeiro - RJ, 21235-250",https://www.google.com/maps/place/RSR+MATERIAL+DE+COSTRUCAO/data=!4m7!3m6!1s0x997cac168ac813:0xadfc82a7114c34ba!8m2!3d-22.8432816!4d-43.3254202!16s%2Fg%2F1ptxmsvw3!19sChIJE8iKFqx8mQARujRMEaeC_K0?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8432816,-43.3254202
1702,2008,2008,R&R Materiais de Construções e Bazar unidade 2,"Estrada Padre Roser, 768 - Vila da Penha, Rio de Janeiro - RJ, 21220-560",https://www.google.com/maps/place/R%26R+Materiais+de+Constru%C3%A7%C3%B5es+e+Bazar+unidade+2/data=!4m7!3m6!1s0x997d3f9bb30c91:0x7800f0b3897fe957!8m2!3d-22.8418671!4d-43.3204167!16s%2Fg%2F11s854xbg7!19sChIJkQyzmz99mQARV-l_ibPwAHg?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8418671,-43.3204167
1703,2010,2010,Norte Sul,"Av. Brás de Pina, 276 - Penha, Rio de Janeiro - RJ, 21070-032",https://www.google.com/maps/place/Norte+Sul/data=!4m7!3m6!1s0x997b9a67465199:0xdda6436182bf1434!8m2!3d-22.8396667!4d-43.2822355!16s%2Fg%2F1ttq39wz!19sChIJmVFGZ5p7mQARNBS_gmFDpt0?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8396667,-43.2822355
1704,2012,2012,D&C Material De Construção,"Estr. da Água Grande, 1124 - Vista Alegre, Rio de Janeiro - RJ, 21230-355",https://www.google.com/maps/place/D%26C+Material+De+Constru%C3%A7%C3%A3o/data=!4m7!3m6!1s0x997b441eee68a1:0xaff00401f86470db!8m2!3d-22.826546!4d-43.3159822!16s%2Fg%2F11syt_v4w6!19sChIJoWjuHkR7mQAR23Bk-AEE8K8?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.826546,-43.3159822
1705,2013,2013,Materiais de Construção Nossa Senhora da Penha,"Av. Nossa Sra. da Penha, 552 - Penha, Rio de Janeiro - RJ, 21070-390",https://www.google.com/maps/place/Materiais+de+Constru%C3%A7%C3%A3o+Nossa+Senhora+da+Penha/data=!4m7!3m6!1s0x997b842c88e69b:0x12fb3e7acf2bb386!8m2!3d-22.8460471!4d-43.2833184!16s%2Fg%2F1tkl4jtj!19sChIJm-aILIR7mQARhrMrz3o--xI?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8460471,-43.2833184
1706,2018,2018,Tintas e Soluções,"Av. Vicente de Carvalho, 1230 - Vila da Penha, Rio de Janeiro - RJ, 21210-024",https://www.google.com/maps/place/Tintas+e+Solu%C3%A7%C3%B5es/data=!4m7!3m6!1s0x997d58d923f221:0x938f67d7cfdca36f!8m2!3d-22.8462371!4d-43.3026601!16s%2Fg%2F11g21ql6r1!19sChIJIfIj2Vh9mQARb6Pcz9dnj5M?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8462371,-43.3026601
1707,2019,2019,Bazar e Ferragens Galvani,"Av. Meriti, 1216 - Vila da Penha, Rio de Janeiro - RJ, 21220-201",https://www.google.com/maps/place/Bazar+e+Ferragens+Galvani/data=!4m7!3m6!1s0x997ca201b4e8b1:0x4bdf4098592f06cd!8m2!3d-22.8526809!4d-43.3085107!16s%2Fg%2F1td6nwnz!19sChIJsei0AaJ8mQARzQYvWZhA30s?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8526809,-43.3085107
1708,2020,2020,Chefão Distribuidora Eireli,"R. Pedro Teixeira - Irajá, Rio de Janeiro - RJ, 21231-060",https://www.google.com/maps/place/Chef%C3%A3o+Distribuidora+Eireli/data=!4m7!3m6!1s0x997b1499080a47:0x39cf670815731bdc!8m2!3d-22.8334511!4d-43.3206208!16s%2Fg%2F11qy8j6rk2!19sChIJRwoImRR7mQAR3BtzFQhnzzk?authuser=0&hl=pt-BR&rclk=1,Loja de ferramentas,-22.8334511,-43.3206208
1709,2021,2021,LASTPISO,"Av. Vicente de Carvalho, 464 - Vicente de Carvalho, Rio de Janeiro - RJ, 27371-121",https://www.google.com/maps/place/LASTPISO/data=!4m7!3m6!1s0x997cba1bb6f89d:0xd87d0fe7b298c557!8m2!3d-22.8536313!4d-43.3189592!16s%2Fg%2F1ptxy6cl7!19sChIJnfi2G7p8mQARV8WYsucPfdg?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8536313,-43.3189592
1710,2024,2024,Material de Construcao D S D,"R. dos Diamantes, 495 - Lj A - Rocha Miranda, Rio de Janeiro - RJ, 21510-000",https://www.google.com/maps/place/Material+de+Construcao+D+S+D/data=!4m7!3m6!1s0x9963149128413b:0x92f77c4eac7577f2!8m2!3d-22.8494864!4d-43.3527934!16s%2Fg%2F1ptxp3l09!19sChIJO0EokRRjmQAR8nd1rE5895I?authuser=0&hl=pt-BR&rclk=1,Loja de materiais de construção,-22.8494864,-43.3527934
1711,2025,2025,Elo 10 Ferragens,"R. dos Ônix, 57 - Rocha Miranda, Rio de Janeiro - RJ, 21511-360",https://www.google.com/maps/place/Elo+10+Ferragens/data=!4m7!3m6!1s0x99631471d0117f:0x2e8246200286d3cb!8m2!3d-22.85065!4d-43.352992!16s%2Fg%2F1v9v03p2!19sChIJfxHQcRRjmQARy9OGAiBGgi4?authuser=0&hl=pt-BR&rclk=1,Loja de ferramentas,-22.85065,-43.352992
